State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Nagaland,"District Dimapur * (06), Nagaland (13)",309024,166663,142361,73.3,58077,5,854,969,60.7,Christians,189098,Hindus,91885,Muslims,24706,201350,115767,85583,76.82,81.05,71.76,201350,4322,39415,49270,38531,55305,14448,31111,80878,186506,10529,103306,87581,15725,205718,216,215,201,178,185,57,24,31.6,29.4,38.9
Nagaland,"District Kohima (07), Nagaland (13)",310084,162251,147833,49.96,55565,6,911,967,90.54,Christians,278844,Hindus,21950,Others,5457,196180,111146,85034,74.54,80.3,68.15,196180,6283,37792,49001,37627,50543,14916,31178,81747,184376,12783,135023,114456,20567,175061,180,179,150,148,164,65,33,29.3,53.4,17.3
Nagaland,"District Phek (08), Nagaland (13)",148195,77141,71054,45.12,28874,5,921,925,96.48,Christians,143048,Hindus,4095,Muslims,517,85562,49433,36129,70.65,78.37,62.26,85562,1306,20710,26792,16874,16296,3549,18167,42921,80795,6312,71398,57454,13944,76797,104,104,103,102,102,55,22,11.7,79.4,8.9
Orrisa,District Bargarh,1346336,681500,664836,11.47,296514,5,976,957,19.36,Hindus,1327967,Christians,10121,Muslims,6758,749820,458534,291286,63.99,77.41,50.26,749820,15117,245140,249457,93408,118362,28280,119279,290084,803080,133893,593530,384710,208820,752806,1180,1180,1180,1154,1134,461,287,24.7,47.3,28
Orrisa,District Jharsuguda,509716,261941,247775,15.13,106839,5,946,948,31.34,Hindus,490127,Muslims,9498,Christians,8485,312880,187019,125861,70.65,82.16,58.48,312880,6565,89339,90669,43070,66985,16249,44550,115812,306507,42847,189593,133148,56445,320123,346,346,346,335,321,127,84,34.9,51.5,13.6
Orrisa,"District Sambalpur (03), Orissa (21)",935613,475122,460491,14.17,202247,5,969,959,34.5,Hindus,873795,Christians,38786,Muslims,19438,544861,324711,220150,67.25,78.99,55.16,544861,12490,163395,157269,69036,105367,37291,84368,209180,561225,80840,421346,282174,139172,514267,1238,1238,1237,1037,825,294,188,33,44.3,22.7
Orrisa,District Debagarh,274108,138408,135700,17.02,58324,5,980,956,33.6,Hindus,261544,Christians,11216,Muslims,1055,139877,85620,54257,60.36,73.33,47.18,139877,2002,42254,46515,17816,25246,6030,28645,65367,157710,22386,126260,69848,56412,147848,711,711,706,307,487,178,83,34.7,23.7,41.6
Orrisa,"District Sundargarh (05), Orissa (21)",1830673,935601,895072,16.26,394060,5,957,969,50.19,Hindus,1431762,Christians,308476,Muslims,61873,1015485,603510,411975,64.86,75.34,53.88,1015485,13571,246925,266849,157537,255929,74647,176912,434316,1092442,127003,738803,480134,258669,1091870,1723,1723,1719,1220,1436,523,270,39.1,54.6,6.2
Orrisa,"District Kendujhar (06), Orissa (21)",1561990,790036,771954,16.79,326784,5,977,961,44.5,Hindus,1525874,Muslims,20390,Others,6750,780918,479337,301581,59.24,71.99,46.22,780918,17751,220226,216473,129539,153161,43741,162527,385830,906767,106866,621226,395160,226066,940764,2069,2062,2041,1415,1677,757,495,20.3,32.2,47.5
Orrisa,"District Mayurbhanj (07), Orissa (21)",2223456,1123200,1100256,17.89,472123,5,980,955,56.6,Hindus,1859639,Others,325847,Muslims,26437,964860,616003,348857,51.91,65.76,37.84,964860,18360,279035,257013,167052,189667,53696,237210,566574,1257071,162601,1027797,618457,409340,1195659,3748,3746,3658,2234,2681,889,486,12.8,26.7,60.5
